date,close,return,return_lag1,rolling_mean_5,rolling_std_10,momentum_5,dow_Friday,dow_Monday,dow_Thursday,dow_Tuesday,dow_Wednesday,target_next_return
2025-09-11,230.02999877929688,0.014286368839370622,-0.03225949486019397,-0.009906460035221776,0.01828484517305264,-0.04897894022217286,0,0,1,0,0,0.017562963814985233
2025-09-12,234.07000732421875,0.017562963814985233,0.014286368839370622,-0.008147854906495566,0.018843616622311325,-0.04066227395794719,1,0,0,0,0,0.011235910376080627
2025-09-15,236.6999969482422,0.011235910376080627,0.017562963814985233,-0.004560196384595527,0.019484668751087897,-0.023446931703216767,0,1,0,0,0,0.0061258849469241206
2025-09-16,238.1499938964844,0.0061258849469241206,0.011235910376080627,-0.0008027322449147168,0.019724545784045214,-0.0049605175313142125,0,0,0,1,0,0.0035272375318422533
2025-09-17,238.9900054931641,0.0035272375318422533,0.0061258849469241206,0.003390326623433326,0.019243307651896923,0.016215010428846766,0,0,0,0,1,-0.0046445482440199415
2025-09-18,237.8800048828125,-0.0046445482440199415,0.0035272375318422533,0.010547673101840571,0.015040568358444657,0.053794314423912803,0,0,1,0,0,0.03203293660995743
2025-09-19,245.5,0.03203293660995743,-0.0046445482440199415,0.006761489685162459,0.014994762574553126,0.034126010282021335,1,0,0,0,0,0.04309566831880085
2025-09-22,256.0799865722656,0.04309566831880085,0.03203293660995743,0.009655484244156898,0.01822530116668203,0.04883151329998969,0,1,0,0,0,-0.006443275472520216
2025-09-23,254.42999267578125,-0.006443275472520216,0.04309566831880085,0.016027435832700943,0.021794732164559502,0.08187574936159026,0,0,0,1,0,-0.008332331793480807
2025-09-24,252.30999755859375,-0.008332331793480807,-0.006443275472520216,0.013513603748812076,0.020980209516000128,0.06836027376248088,0,0,0,0,1,0.018072995928489766
2025-09-25,256.8699951171875,0.018072995928489766,-0.008332331793480807,0.011141689883747464,0.01676160113928374,0.05573451508126204,0,0,1,0,0,-0.005489112898051984
2025-09-26,255.4600067138672,-0.005489112898051984,0.018072995928489766,0.015685198718249405,0.016890269776447024,0.07983012377913012,1,0,0,0,0,-0.004031997224675621
2025-09-29,254.42999267578125,-0.004031997224675621,-0.005489112898051984,0.008180788816647522,0.01749128843320531,0.04057029211351204,0,1,0,0,0,0.0007861188255666729
2025-09-30,254.6300048828125,0.0007861188255666729,-0.004031997224675621,-0.0012447442920477726,0.017927413917444388,-0.006443275472520216,0,0,0,1,0,0.003220327729275496
