Date,Adj Close,Close,High,Low,Open,Volume
2025-08-19 00:00:00+00:00,0.016622152278921526,0.37290125031895893,0.03185177515684735,0.06294870665155995,0.0398468235445835,69750700.0
2025-08-20 00:00:00+00:00,0.005225476130193828,0.04208082523561129,0.0,0.025111076495048488,0.3420306136535458,88890300.0
2025-08-25 00:00:00+00:00,0.034453970633742566,0.07196215160274241,0.04029778825683953,0.0894283240781768,0.04636967559705539,51274300.0
2025-08-26 00:00:00+00:00,0.05248767580287242,0.09039818622181135,0.04187270561190454,0.0840915573511362,0.0333239714921116,51581600.0
2025-08-27 00:00:00+00:00,0.06234206907507707,0.10047310496571976,0.055185890487979734,0.10359190836079533,0.05012768310874291,48341100.0
2025-08-28 00:00:00+00:00,0.07769374101231344,0.11616755696292547,0.0702884960260095,0.1098871131219981,0.06905836466088136,61519500.0
2025-08-29 00:00:00+00:00,0.05175004426616625,0.0896443974081712,0.05855022850499932,0.09483399811486305,0.07068896948631188,74522200.0
2025-09-02 00:00:00+00:00,0.019705890626990942,0.05688470210282817,0.005940998921367281,0.03859018150185361,0.0,81983500.0
2025-09-03 00:00:00+00:00,0.04296796784373299,0.08066627903571921,0.032567805543796464,0.07649671896801072,0.03665615226594784,70820900.0
2025-09-04 00:00:00+00:00,0.07903455077701602,0.11753834827385708,0.06792677529883019,0.09736561090923822,0.049063981765614405,65219200.0
2025-09-05 00:00:00+00:00,0.0664315181722955,0.10465366290330003,0.08982926672634314,0.09613404935684423,0.09912069375138209,85178900.0
2025-09-08 00:00:00+00:00,0.07709056278431703,0.11555097277241183,0.072865593800636,0.12281871823216418,0.07884285911496414,63133100.0
2025-09-09 00:00:00+00:00,0.08714642916834216,0.12583128014423217,0.08016613302962111,0.12275022854257699,0.08132425191459751,66133900.0
2025-09-10 00:00:00+00:00,0.09974987547555102,0.13871596551478924,0.10657799947488192,0.1460826612086509,0.1142938005425829,78034500.0
2025-09-11 00:00:00+00:00,0.1360845376212769,0.1758620256924023,0.13363424958136905,0.16633598118371065,0.11826428867244619,69934400.0
2025-09-12 00:00:00+00:00,0.13460927454786456,0.1743540297583442,0.13921701487412239,0.18898393457397117,0.14251261143872748,72780100.0
2025-09-15 00:00:00+00:00,0.15807241117393872,0.19834141362592497,0.1530312899599783,0.20567913165096485,0.15697687250167583,63772400.0
